脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
有着@嘴唇@她有着鲜红得像玫瑰花的嘴唇	洁白得如牛奶的牙齿。
旭日@青年@旭日像一位跃跃欲试的青年	时刻都充满着活力。
爱心@泉水@爱心是一眼潺潺流动的泉水	使饥渴的行人感到人生旅途的甘甜。
勤奋@种@勤奋是种	生出希望的芽。
幸福@薰衣草@幸福就像普罗旺斯的薰衣草	只开一季。
母爱@龙井@母爱是疲惫中的一杯龙井	当你软弱无力时，只消几口就使你神清气爽。
心@水@我的心像一壶刚烧开的沸腾的水一样	激动得要溢出来。
思绪@泡泡@让我的思绪也像那些彩色的小泡泡一样轻盈地飞翔着	这些彩色的小泡泡吸引了我的注意力，
可@湖水@可是他的眼睛，像一池柔静清澈的湖水	那双眸子明亮深沉。
瀑布@水帘@瀑布，它更像密密的珍珠织成的水帘	走近些。
感动@珠宝@感动是耀眼的珠宝	光彩又高贵着。
涟漪@网@河水就泛起层层涟漪，像巧手的渔家少女编织的网	微风吹拂，
家@奶油@家就像一块奶油蛋糕	甜甜美美。
树叶@花@银杏树叶像一只只美丽的花蝴蝶在空中翩翩起舞	当叶子离开银杏树，落到地上时，
父爱@风@父爱像夏季的风	夏风总是那样恬人，在酷热难耐之时送来一丝清凉。
春天@乐曲@春天是一首美妙的乐曲	让世界充满生机。
兵马俑@沙场@那些兵马俑像正在沙场上战斗着一样	栩栩如生。
高山@老者@高山仿佛一位老者	看尽人世间的沧海桑田，看尽人世间的乱世繁华。
雾@模糊@雾好像一座模糊的运动着的庞大的绝壁	又像一道从海里升起的高墙。
思念@水@思念就像喝下一杯冰冷的水	然后慢慢凝成一滴滴热泪。
卵石@水晶@水底的一块块卵石也都像水晶似的光滑透亮	小河清极了，
寒风@夜空@寒风像一把锋利的剑在夜空里飞舞	吹打着树叶，发出尖厉的叫声。
诚信@土@诚信像土	为无数幼苗提供了营养。
心里@五味瓶@我的心里像打翻了五味瓶	七上八下，不是滋味。
落叶@船@秋天刚落下的落叶有时像一艘小船扬帆起航有时像一只蝴蝶	在花丛中翩翩起舞。
柳树@嫩芽@柳树发出了像绿豆一样的嫩芽	春天到了，
细雨@珠帘@细雨像珠帘似的被秋风扭着卷着	又像无头苍蝇似的不分方向地乱飞。
水@坦克@瀑布水又如千万辆坦克同时起程	发出山崩地裂似的巨响，让人觉得心惊胆寒。
雪花@鹅毛@雪花漫天卷地落下来，犹如鹅毛一般	纷纷扬扬。
学习@逆水行舟@学习就像逆水行舟	不进则退。
学校@梦幻@我们学校真美丽，如一座梦幻般的城堡	多姿多彩。
人生@船@人生是一艘小船	随风游荡随风漂泊。
云霞@小姑娘@太阳慢慢地透过云霞，像一个害羞的小姑娘张望着大地	露出了早已胀得通红的脸庞。
望湖楼@天@望湖楼下水如天	卷地风来忽吹散，
绿叶@灯笼@微风中茶梅翩翩起舞她大红色的花朵垂在绿叶中真像几只大红灯笼时而像一个个披着轻纱的少女	含笑矗立，骄羞欲语。
大地@棉被@大地像盖上了一层厚重的棉被	雪下得很大，
自信@灯光@自信，是夜晚的灯光	让自己甩掉黑暗的恐惧。
太阳@色彩@太阳一边落下，好像要把自已炫丽的色彩最后展示给世界万物看	一边变换着颜色。
好@娃娃@日出好像个刚刚睡醒的娃娃一样	在天的边际。
水平@水浪@那水平如镜的湖面扬起一阵阵小水浪	微风拂过湖面，
记忆@相册@记忆如一本泛黄的相册	无声的诉说着那些已经老去的故事。
希望@动力@希望是动力	是你增加无穷的力量。
记忆@日子@记忆像一本跌宕起伏的日子	里面记载了你不平凡的一生，人生的酸甜苦辣都汇聚于此。
百灵鸟@艺术家@百灵鸟像艺术家一样	在树上卖力的演奏着自己的音乐会。
涟漪@焰火@水面上泛着一圈圈涟漪，像不断放大的焰火	慢慢地荡漾开来。
蒲公英@雪花@蒲公英像雪花一样	载着希望在天空中飞舞，然后降落在世界的某个角落。
逆境@熔炉@逆境是熔炉	它能使你磨砺出人生的光芒。
雪花@羽毛@一朵朵雪花像一片片羽毛飘在空中	十分美丽。
友谊@油彩@友谊如油彩	我们共同调色，描绘出一片片美妙的景色。
溪水@衣裳@落日的余晖映在水里，溪水像披上浅金色的衣裳	傍晚，
树叶@小鸟@秋天飘落的树叶像一只只金黄的小鸟	上下翻飞。
生活@歌@生活像一首歌	吟唱着人生的悲喜交加，苦乐年华。
乡愁@从前@乡愁是抓不住回不去的从前	忘了告别的变迁像风筝断了线。
梨子@葫芦@黄澄澄的梨子仿佛一个个金黄的葫芦挂在枝头	小巧玲珑，可爱极了。
羽毛@丝绸@孔雀的羽毛如斑斓多彩的丝绸披于身上	让人不禁感叹真美丽。
友谊@小雨@友谊是一瓢纷洒在春天的小雨	使落寞孤寂的人享受心灵的滋润。
挫折@仙人@挫折是一位仙人	可以为你指引明路。
云@羊群@天上的云像洁白的羊群	象堆积的棉絮，象泛着光的鱼鳞。
脸儿@山@她脸儿红得像熟透了的山柿子	忙低下头去，不敢再看我一眼。
风暴@地狱@风暴像地狱打开了一般	震撼山岳。
黑纱@大将军@蛐蛐儿满身披着黑纱，显得那么严肃；又像披着黑色盔甲的大将军	显得那么勇武。
岁月@沙@岁月一如手心慢慢流逝的沙	终会一点一点流淌干净。
树叶@彩蝶@树叶沙沙地响着，飘下几片像飞舞着的彩蝶似的红叶	一阵风吹过，
父亲@山峰@父亲像一座山峰	让你的身心即使承受风霜雨雪也沉着坚定。
路灯@战士@一排排路灯像战士一样守护我们	照亮了漆黑的夜晚。
生活@七彩缎@生活像七彩缎	那也是一幅难描的画。
友谊@大海@友谊是大海	多一滴它未必宽广，少一滴它同样浩瀚。
彩虹@拱桥@彩虹像记忆里故乡的拱桥	绚丽的色彩是我在拱桥上难忘的童年。
人生@大海@人生是大海	而我们只是海中的一叶孤舟。
人生@打电话@人生就像打电话	不是你先挂，就是我先挂。
毛@黄色@小狮子狗身上的毛几乎都是黄色的	只有脖子和四只小脚丫是白色的。
风筝@鸟儿@风筝像鸟儿	能自由飞翔。
朋友@琼浆@朋友如糯米，酿成一坛坛醇香的琼浆	我们共同酿造。
恋爱@小偷@恋爱就像小偷	没有一天能睡个安稳觉，最大的不安全因素往往就是你自己。
田野@稿纸@广阔的田野像一张硕大的稿纸	农民们在书写着丰收的华章。
母亲@灯塔@母亲是黑暗中的灯塔	时刻指明我前进的方向。
快乐@清风@快乐如清风	吹走笼罩在人们心头上的乌云。
春天@种子@春天像刚埋入的种子	从上到下都是嫩的，它成长着。
春风@手掌@春风吹在我的脸上，就像妈妈温暖的手掌抚摸着我	暖洋洋的。
野鸡@炮弹@苍鹰发现一只正啄食草根的野鸡，像一颗炮弹一样射将下去	便将身子一抖。
字典@长者@字典就像一位经验丰富的长者	满腹经纶，学富五车。
柿子@红宝石@柿子树上的柿子像晶莹剔透的红宝石一样	秋天，高傲的挂在树上，
思念@草@思念是寂寂百草	渴望你普降催醒新叶的雨露。
鼓励@面包@鼓励是面包	在饥饿时吃上一块，就不会让人饥饿。
叶子@舞者@叶子从树上翩翩起舞地飘落下来，好像一位舞者在随风起舞	美丽极了。
春天@画@春天像一幅美丽的画	展现出美妙的景色。
老师@蜡烛@老师像蜡烛	照亮了别人，燃烧了自己。
看@圆盘@看，像一个个碧绿的大圆盘	那池荷叶。
他@雷电@他像雷电一般	霎时消失地无影无踪。
蘑菇@喷泉@船尾排出的浪花似一朵朵蘑菇像一处处喷泉向后涌去也像一条路	一条浪花之路。
思念@柔情@思念，是如水的柔情	又如晨曦中缕缕漂浮的雾。
喜欢@月牙泉@喜欢是一条流淌在沙漠中的月牙泉	使思想干涸的人获得心灵的甜润。
梦想@光@梦想是光	照溶寒冬的雪。
火龙果@火焰@小叶子把火龙果打扮得像火焰一般，还真有点像一个威武的火焰战士	远远望去。
我@小鸟@我像一只被掉队的小鸟	在街上漫不经心地走着。
架子@宝石@葡萄挂在架子上，就像一颗颗紫色的宝石	在阳光下闪闪发亮。
云千@头@天上的云千变万化像一个魔术师他一会变成可爱的动物一会变成风趣的人物头像	一会有变成其他奇形怪状的东西，有趣极了。
绿豆@眼睛@一颗颗绿豆像乌龟的眼睛一样瞪得大大地	挤成了一团。
细毛@锦缎@光滑的细毛像锦缎一样	梅花鹿身长得实在惹人喜爱，
地面@花坛@在草坪中央几方丈的地面上，仿佛是一座五色缤纷的花坛	聚集着数不清的蝴蝶。
教室@童声@朗朗的读书声从各个教室里飞出来，像动人的童声大合唱音符满天	每天早上，
星斗@宝石@一颗颗亮闪闪的星斗，像熠熠生辉的宝石	镶嵌在黛色的夜幕上。
单位@老黄牛@老王在我们单位像老黄牛一样	踏踏实实做事，大家都尊敬他。
脑袋@棉袄@熊猫有一颗圆圆的大脑袋，就像穿着一件黑白小棉袄似的	身上有黑白两种颜色。
北风@野马@北风，像一只难以驯服的野马	在田地里奔跑着。
梦想@水@梦想是生命的水	给人希望润物无声。
月亮@罗盘@月亮非常圆犹如一张罗盘	挂在远方的天上。
手@鸡爪@手长得像鸡爪一样	他实在太瘦了，
黄叶@枯叶蝶@飘落的黄叶像一只只枯叶蝶在翩跹起舞	为梗天增添色彩。
荷叶@圆盘@荷花全开放了，碧绿的荷叶像圆盘	到了夏天，
友谊@瀑布@友谊是一条瀑布	飞溅着真诚的水花。
秋雨@小姑娘@让人觉得秋雨就像是个爱哭的小姑娘	秋雨绵绵，小雨下个不停，
学校@奶@学校是一杯香醇的奶	在我饥饿时给我补充营养。
团结@歌@团结是一首歌	唱出了我们成功的喜悦。
风@伞兵@蒲公英的花给风一吹，它们好像一个个跳降落伞的伞兵	纷纷扬扬随风而飘。
春天@画@春天像一幅画	山遥水远遗墨间，彼岸花开意连连。
冬天@母亲@冬天是慈祥的母亲	为大地盖上一层雪白的棉被。
太阳花@战士@太阳花像一个刚毅的战士	笔挺的站立着目视前方。
时间@利刃@时间是一把利刃	它能协助我们切除思想上的毒瘤。
乌云@事@一团团乌云，像一群专事毁灭的精怪	趁着风势在混乱一团的天空骤驰。
生活@白开水@生活像白开水	无味却是必须。
天空@母亲@天空像母亲包容大地与白云	大地在她身下苍茫，白云在她怀里嬉戏。
读书@战舰@读书像战舰的劈风斩浪	读书像雄鹰的展翅翱翔，
医生@天使@医生像天使	妙手回春。
春天@娃娃@春天像淘气的娃娃	走到哪，就给哪带来欢乐。
老师@康乃馨@老师像美丽的康乃馨	是我们心中永远盛开的花朵。
母爱@大山@母爱就像一座大山	蕴藏着万物，哺育我们成长。
金钱@海洋@金钱是无底的海洋	荣誉、良心和真理都可以淹没其中。
冰条儿@棒@雪松四周挂满了冰条儿，如一朵朵银色的仙女棒	晶莹剔透。
父亲@大山@父亲是一座大山	挺拔而伟岸。
伙伴@阳光@伙伴是一束阳光	一束可以让你的生活充满温暖的阳光。
理解@桥@理解是沟通之桥	拉近人与人的距离。
友谊@书@友谊是书	使你明白更多的道理。
字典@文字@字典像一部浩瀚的文字海洋	让人在学海中荡漾。
爱心@梅花@爱心如一朵绽放在隆冬的梅花	使饱经风霜的人感到生命的顽强。
云@绵羊@天上的云像一只只绵羊在嬉戏像一朵朵白色的花	就要绽开似的。
爱心@露水@爱心是一颗晶莹的露水	让我们干涸的心田从此走向春天。
天空@小孩@天空像个调皮的小孩	把云儿玩弄于掌中。
梧桐叶@跳伞员@梧桐叶像一位位“跳伞员”一样	慢慢悠悠地飘下来。
思念@舟@思念像是一叶孤舟	偶尔也会让船上的人迷失方向。
城市@砖窑@整个城市像烧透了的砖窑	使人喘不过气来。
仙人掌@碧玉@仙人掌是黄沙中的碧玉	是枯海中的岛屿，是荒漠上的英雄。
友情@泉水@友情像一股流淌在心头的泉水	使沉浸在痛苦中的人们感到人间的甘甜。
母亲@被@母亲是冬夜里的一床丝绵被	当你瑟瑟发抖时，贴心的呵护和温暖使你安然入梦。
父亲@园丁@父亲是一名园丁	默默的为你修剪。
红霞@电影@红霞像一幕幕精彩的电影	上演着变化多端的情节。
歌@丝带@河水哗啦啦地唱着歌蜿蜒而去，像一条银白色的丝带	滔滔清流滋润了河边的田野。
溪水@孩童@溪水像顽皮的孩童	在山间快乐地奔跑着，洒落一串串哗哗的笑声。
文明@路@文明是一条路	指引我们越上正确的轨道。
音乐@秋叶@音乐是一片秋叶	撩人乡思。
儿童@花朵@儿童是花朵	在春天的感召下会欢畅活泼的舒展这新鲜美丽的四肢。
友情@蜜糖@友情如蜜糖	我们一同品尝，甜蜜一滴滴渗入心田。
感动@细雨@感动是秋日绵绵的细雨	让你在微微战栗间感觉到透凉的清爽。
爱心@小伞@爱心是一柄撑起在雨夜的小伞	使漂泊异乡的人得到亲情的荫庇。
今天@黄河@他从来没说过这么多话，今天像黄河决了口	简直什么也拦挡不住了。
地球@大海@地球像湛蓝的大海	藐小的咱们仅仅汇入大海的一颗水滴。
童年@基石@童年是基石	奠定了人生的未来。
梨花@白雪@盛开的梨花像白雪	春天，
松树@宝塔@远看松树像一座高大入云的宝塔	近看则像是一把巨大的绿色遮阳伞。
松树宛@乌云@松树宛如一团乌云	浓得吹不进风去；而那针叶缝里，却挂着一串硕大的松塔。
春天@魔术师@春天像个魔术师	让万物复苏。
鸟@绅士@画眉鸟是一种温顺、乖巧的鸟，像绅士一样气宇轩昂	它的头上长着金黄色的羽毛。
梦想@航船@梦想像一艘航船	迎风破浪，驶向胜利的彼岸。
草@卫士@青青的小草像千万个绿色的卫士	守护着五彩斑斓的花朵。
春雨@孩童@春雨像一个活泼的孩童	蹦蹦跳跳的和你玩耍，好不惬意。
泪水@眼睛@泪水像雨水一样模糊了我的眼睛	我的心很难受，
云朵@棉花糖@云朵真像一朵朵棉花糖	让人忍不住想吃掉它。
晨雾@白纱@晨雾细如白纱	薄似的蝉翼。
夜@那@闷热的夜，如在那八卦炉中	又黑又暗。
失败@仙人@失败是一位仙人	可以为你指引明路。
纹路@扇子@奶奶满脸爬着重重的皱纹，眼角的纹路像两把打开的扇子	因为带有笑容。
记忆@海@记忆是一片海	是那么飘渺。
礼仪@钥匙@文明礼仪像一把钥匙	开启了心灵之锁。
雪好@羞@那点薄雪好像忽然害了羞	微微露出点粉色。
秋@孩子@秋像个淘气的孩子	用手上的水彩笔把田野涂。
